strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
6770.0,546,775,1321,-229,-356.17,14,138,152
6775.0,1047,7886,8933,-6839,-351.17,21,289,310
6780.0,403,903,1306,-500,-346.17,19,479,498
6785.0,307,1449,1756,-1142,-341.17,7,168,175
6790.0,406,1077,1483,-671,-336.17,20,385,405
6795.0,357,1094,1451,-737,-331.17,1,281,282
6800.0,4391,11790,16181,-7399,-326.17,49,948,997
6805.0,382,725,1107,-343,-321.17,4,243,247
6810.0,1325,2207,3532,-882,-316.17,12,408,420
6815.0,948,1421,2369,-473,-311.17,28,159,187
6820.0,680,1223,1903,-543,-306.17,27,590,617
6825.0,1546,11377,12923,-9831,-301.17,230,444,674
6830.0,850,1694,2544,-844,-296.17,41,446,487
6835.0,370,748,1118,-378,-291.17,17,391,408
6840.0,1339,1582,2921,-243,-286.17,31,272,303
6845.0,271,692,963,-421,-281.17,19,237,256
6850.0,7287,10191,17478,-2904,-276.17,133,1189,1322
6855.0,536,1920,2456,-1384,-271.17,55,297,352
6860.0,1361,1158,2519,203,-266.17,89,1276,1365
6865.0,418,4755,5173,-4337,-261.17,34,407,441
6870.0,677,991,1668,-314,-256.17,34,905,939
6875.0,1964,1874,3838,90,-251.17,572,2504,3076
6880.0,1071,1455,2526,-384,-246.17,26,1823,1849
6885.0,522,1009,1531,-487,-241.17,51,1101,1152
6890.0,1645,1417,3062,228,-236.17,79,1396,1475
6895.0,756,1882,2638,-1126,-231.17,65,1198,1263
6900.0,5485,7922,13407,-2437,-226.17,180,3783,3963
6905.0,2770,1447,4217,1323,-221.17,27,1259,1286
6910.0,1898,2170,4068,-272,-216.17,154,2208,2362
6915.0,541,1169,1710,-628,-211.17,106,2000,2106
6920.0,1666,2602,4268,-936,-206.17,125,2356,2481
6925.0,1848,2536,4384,-688,-201.17,65,3005,3070
6930.0,809,2160,2969,-1351,-196.17,428,3367,3795
6935.0,515,3916,4431,-3401,-191.17,239,4311,4550
6940.0,790,2969,3759,-2179,-186.17,119,3926,4045
6945.0,1185,3344,4529,-2159,-181.17,98,4471,4569
6950.0,4154,10612,14766,-6458,-176.17,706,5995,6701
6955.0,697,1027,1724,-330,-171.17,79,2506,2585
6960.0,1240,2226,3466,-986,-166.17,202,3207,3409
6965.0,2216,908,3124,1308,-161.17,897,1985,2882
6970.0,1232,3785,5017,-2553,-156.17,271,4230,4501
6975.0,2358,2345,4703,13,-151.17,567,3761,4328
6980.0,1364,1536,2900,-172,-146.17,294,4612,4906
6985.0,809,863,1672,-54,-141.17,330,3923,4253
6990.0,711,1903,2614,-1192,-136.17,268,6810,7078
6995.0,840,1748,2588,-908,-131.17,227,5376,5603
7000.0,11750,7677,19427,4073,-126.17,1834,11764,13598
7005.0,3709,1295,5004,2414,-121.17,258,4998,5256
7010.0,1586,1236,2822,350,-116.17,677,6968,7645
7015.0,1150,1010,2160,140,-111.17,389,7924,8313
7020.0,3003,2905,5908,98,-106.17,1027,9013,10040
7025.0,2497,1669,4166,828,-101.17,918,10015,10933
