strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
6855.0,82,542,624,-460,-388.51,153,319,472
6860.0,197,4611,4808,-4414,-383.51,33,4842,4875
6865.0,46,694,740,-648,-378.51,3,394,397
6870.0,228,894,1122,-666,-373.51,37,1,38
6875.0,431,5260,5691,-4829,-368.51,93,17,110
6880.0,261,699,960,-438,-363.51,25,433,458
6885.0,34,3432,3466,-3398,-358.51,1,25,26
6890.0,368,2526,2894,-2158,-353.51,25,7137,7162
6895.0,38,1401,1439,-1363,-348.51,1,621,622
6900.0,1783,8524,10307,-6741,-343.51,284,5,289
6905.0,58,1312,1370,-1254,-338.51,81,365,446
6910.0,1341,684,2025,657,-333.51,239,20,259
6915.0,83,1315,1398,-1232,-328.51,18,14,32
6920.0,102,3657,3759,-3555,-323.51,14,4,18
6925.0,822,4720,5542,-3898,-318.51,55,51,106
6930.0,438,1035,1473,-597,-313.51,55,5,60
6935.0,155,888,1043,-733,-308.51,1,37,38
6940.0,156,1066,1222,-910,-303.51,1,17,18
6945.0,94,974,1068,-880,-298.51,18,1597,1615
6950.0,2080,6826,8906,-4746,-293.51,198,65,263
6955.0,45,608,653,-563,-288.51,3,1,4
6960.0,163,4749,4912,-4586,-283.51,106,27,133
6965.0,135,1238,1373,-1103,-278.51,18,1437,1455
6970.0,507,1743,2250,-1236,-273.51,1,1,2
6975.0,1270,9879,11149,-8609,-268.51,3,7,10
6980.0,151,2020,2171,-1869,-263.51,42,11,53
6985.0,51,7024,7075,-6973,-258.51,8,10,18
6990.0,147,1013,1160,-866,-253.51,10,19,29
6995.0,285,1454,1739,-1169,-248.51,255,12,267
7000.0,2547,5379,7926,-2832,-243.51,26,64,90
7005.0,206,1719,1925,-1513,-238.51,1,248,249
7010.0,282,2636,2918,-2354,-233.51,48,38,86
7015.0,86,2025,2111,-1939,-228.51,9,93,102
7020.0,252,2120,2372,-1868,-223.51,1,40,41
7025.0,1756,2359,4115,-603,-218.51,1,16,17
7030.0,366,2324,2690,-1958,-213.51,7,65,72
7035.0,106,2807,2913,-2701,-208.51,75,117,192
7040.0,231,1327,1558,-1096,-203.51,5,106,111
7045.0,264,1249,1513,-985,-198.51,133,51,184
7050.0,2082,5745,7827,-3663,-193.51,15,257,272
7055.0,238,2053,2291,-1815,-188.51,4,67,71
7060.0,320,2071,2391,-1751,-183.51,202,281,483
7065.0,128,2163,2291,-2035,-178.51,1,68,69
7070.0,287,1860,2147,-1573,-173.51,2,39,41
7075.0,1819,3170,4989,-1351,-168.51,470,91,561
7080.0,353,2560,2913,-2207,-163.51,3,115,118
7085.0,138,1046,1184,-908,-158.51,1,109,110
7090.0,326,1786,2112,-1460,-153.51,2,110,112
7095.0,208,1931,2139,-1723,-148.51,1,158,159
7100.0,2183,4334,6517,-2151,-143.51,11,281,292
7105.0,526,860,1386,-334,-138.51,336,89,425
7110.0,537,1561,2098,-1024,-133.51,235,143,378
7115.0,242,894,1136,-652,-128.51,269,199,468
7120.0,841,2694,3535,-1853,-123.51,16,243,259
7125.0,1514,2294,3808,-780,-118.51,1,223,224
7130.0,653,2618,3271,-1965,-113.51,5,394,399
7135.0,582,1553,2135,-971,-108.51,6,331,337
7140.0,866,2439,3305,-1573,-103.51,6,238,244
7145.0,601,1390,1991,-789,-98.51,8,360,368
7150.0,6303,6225,12528,78,-93.51,20,576,596
7155.0,647,1094,1741,-447,-88.51,14,180,194
7160.0,884,2288,3172,-1404,-83.51,24,478,502
7165.0,2750,1827,4577,923,-78.51,10,201,211
7170.0,2349,2282,4631,67,-73.51,12,269,281
7175.0,3037,4171,7208,-1134,-68.51,1008,267,1275
7180.0,2067,1225,3292,842,-63.51,1011,394,1405
7185.0,863,1769,2632,-906,-58.51,5,208,213
7190.0,1133,841,1974,292,-53.51,14,263,277
7195.0,817,487,1304,330,-48.51,19,473,492
7200.0,14136,4225,18361,9911,-43.51,993,817,1810
7205.0,1366,708,2074,658,-38.51,24,388,412
7210.0,2214,1209,3423,1005,-33.51,51,422,473
7215.0,2042,854,2896,1188,-28.51,86,277,363
7220.0,2264,373,2637,1891,-23.51,134,319,453
7225.0,2243,267,2510,1976,-18.51,145,288,433
7230.0,3116,177,3293,2939,-13.51,329,346,675
7235.0,1544,132,1676,1412,-8.51,439,339,778
7240.0,2603,265,2868,2338,-3.51,558,304,862
7245.0,4769,74,4843,4695,1.49,2075,103,2178
7250.0,6813,404,7217,6409,6.49,843,193,1036
7255.0,3048,60,3108,2988,11.49,738,11,749
7260.0,2507,63,2570,2444,16.49,1402,14,1416
7265.0,2017,19,2036,1998,21.49,492,7,499
7270.0,2621,40,2661,2581,26.49,578,5,583
7275.0,8073,519,8592,7554,31.49,638,1,639
7280.0,19205,12,19217,19193,36.49,490,3,493
7285.0,8053,284,8337,7769,41.49,384,292,676
7290.0,13730,280,14010,13450,46.49,672,287,959
7295.0,1469,12,1481,1457,51.49,472,17,489
7300.0,8165,140,8305,8025,56.49,384,4,388
7305.0,2123,2,2125,2121,61.49,621,3,624
7310.0,9120,20,9140,9100,66.49,202,12,214
7315.0,1209,7,1216,1202,71.49,115,4,119
7320.0,1986,9,1995,1977,76.49,93,17,110
7325.0,1983,16,1999,1967,81.49,122,20,142
7330.0,1806,7,1813,1799,86.49,26,5,31
7335.0,544,2,546,542,91.49,441,1,442
7340.0,30715,7,30722,30708,96.49,41,6,47
7345.0,437,0,437,437,101.49,80,0,80
7350.0,12850,35,12885,12815,106.49,602,21,623
7355.0,1366,0,1366,1366,111.49,22,0,22
7360.0,2429,0,2429,2429,116.49,1,0,1
7365.0,253,1,254,252,121.49,152,1,153
7370.0,1460,1,1461,1459,126.49,1,1,2
7375.0,7382,1,7383,7381,131.49,213,1,214
7380.0,1298,1,1299,1297,136.49,165,1,166
7385.0,491,0,491,491,141.49,349,0,349
7390.0,1440,0,1440,1440,146.49,611,0,611
7395.0,0,0,0,0,151.49,0,0,0
7400.0,2958,106,3064,2852,156.49,20,3,23
7405.0,0,0,0,0,161.49,0,0,0
7410.0,676,1,677,675,166.49,204,1,205
7415.0,0,0,0,0,171.49,0,0,0
7420.0,946,0,946,946,176.49,641,0,641
7425.0,2016,0,2016,2016,181.49,55,0,55
7430.0,2254,8,2262,2246,186.49,143,8,151
7440.0,303,0,303,303,196.49,87,1,88
7450.0,1014,1,1015,1013,206.49,542,1,543
7460.0,411,1,412,410,216.49,97,1,98
7470.0,864,6,870,858,226.49,128,1,129
7475.0,1105,10,1115,1095,231.49,446,1,447
